pair,averaging_frames,tau_s,allan_deviation,allan_variance,overlapping_terms,deviation_unit
"(7,5)-(8,6)",23,0.3170129602962354,53.58959730086954,2871.8449388693643,85400,urad^2
"(7,5)-(8,6)",27,0.37214564904340675,59.74368681105659,3569.3081137776176,85392,urad^2
"(7,5)-(8,6)",31,0.4272783377905781,65.24833091910119,4257.344687728537,85384,urad^2
"(7,5)-(8,6)",36,0.4961941987245423,71.25693577525924,5077.5508960794195,85374,urad^2
"(7,5)-(8,6)",41,0.5651100596585065,76.39091759742722,5835.572291376916,85364,urad^2
"(7,5)-(8,6)",47,0.6478090927792636,81.55859863089884,6651.805010636055,85352,urad^2
"(7,5)-(8,6)",54,0.7442912980868135,86.47116842624727,7477.262969000424,85338,urad^2
"(7,5)-(8,6)",62,0.8545566755811562,90.96053265597541,8273.81850105877,85322,urad^2
"(7,5)-(8,6)",72,0.9923883974490846,95.38087131579694,9097.510612960614,85302,urad^2
"(6,7)-(7,8)",1,0.013783172186792841,38.23141609395753,1461.6411765493144,85444,urad^2
"(6,7)-(7,8)",2,0.027566344373585683,30.418299930524995,925.2729706633769,85442,urad^2
"(6,7)-(7,8)",3,0.041349516560378524,29.92601695186975,895.5664906035958,85440,urad^2
"(6,7)-(7,8)",4,0.055132688747171366,32.33151129443129,1045.3266225819377,85438,urad^2
"(6,7)-(7,8)",5,0.06891586093396421,36.02255809075773,1297.6246914020148,85436,urad^2
"(6,7)-(7,8)",6,0.08269903312075705,40.31560224411699,1625.3477843058508,85434,urad^2
"(6,7)-(7,8)",7,0.09648220530754989,44.87108487443434,2013.4142578086903,85432,urad^2
"(6,7)-(7,8)",9,0.12404854968113557,54.276176920099715,2945.903381061965,85428,urad^2
"(6,7)-(7,8)",10,0.13783172186792841,58.99725551065245,3480.676157789211,85426,urad^2
"(6,7)-(7,8)",11,0.15161489405472126,63.67599392919255,4054.6322028705667,85424,urad^2
"(6,7)-(7,8)",13,0.17918123842830694,72.8421346109585,5305.976574680998,85420,urad^2
"(6,7)-(7,8)",15,0.20674758280189262,81.69005886531738,6673.26571741902,85416,urad^2
"(6,7)-(7,8)",18,0.24809709936227115,94.2376917684825,8880.742549851517,85410,urad^2
"(6,7)-(7,8)",20,0.27566344373585683,102.07607328126096,10419.524736521358,85406,urad^2
"(6,7)-(7,8)",23,0.3170129602962354,113.02484951536407,12774.616607970695,85400,urad^2
"(6,7)-(7,8)",27,0.37214564904340675,126.12926105772293,15908.590494967222,85392,urad^2
"(6,7)-(7,8)",31,0.4272783377905781,137.59845344833653,18933.334391374035,85384,urad^2
"(6,7)-(7,8)",36,0.4961941987245423,149.82192340183207,22446.608731824435,85374,urad^2
"(6,7)-(7,8)",41,0.5651100596585065,159.96697641423881,25589.433543113635,85364,urad^2
"(6,7)-(7,8)",47,0.6478090927792636,169.82539888789773,28840.66610743358,85352,urad^2
"(6,7)-(7,8)",54,0.7442912980868135,178.74660054889935,31950.34720778778,85338,urad^2
"(6,7)-(7,8)",62,0.8545566755811562,186.35450591598462,34728.00187519075,85322,urad^2
"(6,7)-(7,8)",72,0.9923883974490846,193.1607167094885,37311.06247972327,85302,urad^2
"(6,6)-(8,8)",1,0.013783172186792841,49.070170044707005,2407.8815882164604,85444,urad^2
"(6,6)-(8,8)",2,0.027566344373585683,42.80999890274386,1832.6960060529304,85442,urad^2
"(6,6)-(8,8)",3,0.041349516560378524,46.11604976068813,2126.6900455302634,85440,urad^2
"(6,6)-(8,8)",4,0.055132688747171366,52.934524399509776,2802.063873402296,85438,urad^2
"(6,6)-(8,8)",5,0.06891586093396421,61.040716480831044,3725.9690684931984,85436,urad^2
"(6,6)-(8,8)",6,0.08269903312075705,69.66104430484472,4852.661093641539,85434,urad^2
"(6,6)-(8,8)",7,0.09648220530754989,78.43044461360225,6151.33464228733,85432,urad^2
"(6,6)-(8,8)",9,0.12404854968113557,95.99221765507795,9214.50585033986,85428,urad^2
"(6,6)-(8,8)",10,0.13783172186792841,104.66936164502944,10955.675267177961,85426,urad^2
"(6,6)-(8,8)",11,0.15161489405472126,113.22091606905437,12818.975835515854,85424,urad^2
"(6,6)-(8,8)",13,0.17918123842830694,129.89193724757564,16871.915361928128,85420,urad^2
"(6,6)-(8,8)",15,0.20674758280189262,145.91454434419543,21291.054251174173,85416,urad^2
"(6,6)-(8,8)",18,0.24809709936227115,168.57780848935846,28418.477515074817,85410,urad^2
"(6,6)-(8,8)",20,0.27566344373585683,182.72566176509147,33388.66746749061,85406,urad^2
"(6,6)-(8,8)",23,0.3170129602962354,202.49497048262,41004.21307075714,85400,urad^2
"(6,6)-(8,8)",27,0.37214564904340675,226.18196954546556,51158.283347465906,85392,urad^2
"(6,6)-(8,8)",31,0.4272783377905781,246.96082391113018,60989.64854686425,85384,urad^2
"(6,6)-(8,8)",36,0.4961941987245423,269.1885313471536,72462.46540883751,85374,urad^2
"(6,6)-(8,8)",41,0.5651100596585065,287.73624537294484,82792.14690131952,85364,urad^2
"(6,6)-(8,8)",47,0.6478090927792636,305.89033263748445,93568.8956010709,85352,urad^2
"(6,6)-(8,8)",54,0.7442912980868135,322.4950365669958,104003.04861034795,85338,urad^2
"(6,6)-(8,8)",62,0.8545566755811562,336.8675107670848,113479.71981041202,85322,urad^2
"(6,6)-(8,8)",72,0.9923883974490846,349.9863294925676,122490.43083168012,85302,urad^2
"(5,6)-(7,8)",1,0.013783172186792841,43.83218083798795,1921.2600770140782,85444,urad^2
"(5,6)-(7,8)",2,0.027566344373585683,33.22490752338132,1103.8944799372405,85442,urad^2
"(5,6)-(7,8)",3,0.041349516560378524,30.753365276824148,945.7694758497731,85440,urad^2
"(5,6)-(7,8)",4,0.055132688747171366,31.480892027048814,991.0465628187056,85438,urad^2
"(5,6)-(7,8)",5,0.06891586093396421,33.77132359561954,1140.5022974000492,85436,urad^2
"(5,6)-(7,8)",6,0.08269903312075705,36.86045014117435,1358.6927846099998,85434,urad^2
"(5,6)-(7,8)",7,0.09648220530754989,40.34105087987277,1627.4003860924834,85432,urad^2
"(5,6)-(7,8)",9,0.12404854968113557,47.873851660923464,2291.9056728521045,85428,urad^2
"(5,6)-(7,8)",10,0.13783172186792841,51.750108461803386,2678.073725808414,85426,urad^2
"(5,6)-(7,8)",11,0.15161489405472126,55.631505716174644,3094.864428248772,85424,urad^2
"(5,6)-(7,8)",13,0.17918123842830694,63.317388908992086,4009.091738252554,85420,urad^2
"(5,6)-(7,8)",15,0.20674758280189262,70.79792686273251,5012.346448060821,85416,urad^2
"(5,6)-(7,8)",18,0.24809709936227115,81.46309364357154,6636.235625981305,85410,urad^2
"(5,6)-(7,8)",20,0.27566344373585683,88.1582268263586,7771.872957167692,85406,urad^2
"(5,6)-(7,8)",23,0.3170129602962354,97.55452524597143,9516.885395966878,85400,urad^2
"(5,6)-(7,8)",27,0.37214564904340675,108.87426353980285,11853.605261334444,85392,urad^2
"(5,6)-(7,8)",31,0.4272783377905781,118.85372286273955,14126.207438332898,85384,urad^2
"(5,6)-(7,8)",36,0.4961941987245423,129.57137726728536,16788.741806941194,85374,urad^2
"(5,6)-(7,8)",41,0.5651100596585065,138.52622462505286,19189.514908870602,85364,urad^2
"(5,6)-(7,8)",47,0.6478090927792636,147.27537685768678,21690.03662857366,85352,urad^2
"(5,6)-(7,8)",54,0.7442912980868135,155.25156948387607,24103.049827206796,85338,urad^2
"(5,6)-(7,8)",62,0.8545566755811562,162.1597474573715,26295.78369543851,85322,urad^2
"(5,6)-(7,8)",72,0.9923883974490846,168.54174634532492,28406.320261131845,85302,urad^2
"(5,7)-(6,8)",1,0.013783172186792841,35.69099892601222,1273.8474043366055,85444,urad^2
"(5,7)-(6,8)",2,0.027566344373585683,26.09195081005217,680.7898970741822,85442,urad^2
"(5,7)-(6,8)",3,0.041349516560378524,22.84552348239408,521.9179431846193,85440,urad^2
"(5,7)-(6,8)",4,0.055132688747171366,21.96019685665167,482.25024598289383,85438,urad^2
"(5,7)-(6,8)",5,0.06891586093396421,22.268355619431535,495.87966199346795,85436,urad^2
"(5,7)-(6,8)",6,0.08269903312075705,23.31072247794336,543.3897824436939,85434,urad^2
"(5,7)-(6,8)",7,0.09648220530754989,24.781603872472004,614.1278904921195,85432,urad^2
"(5,7)-(6,8)",9,0.12404854968113557,28.415915731873522,807.4642668809371,85428,urad^2
"(5,7)-(6,8)",10,0.13783172186792841,30.414779417411346,925.0588070097888,85426,urad^2
"(5,7)-(6,8)",11,0.15161489405472126,32.46345145047236,1053.8756800771762,85424,urad^2
"(5,7)-(6,8)",13,0.17918123842830694,36.608908906889546,1340.2122113529367,85420,urad^2
"(5,7)-(6,8)",15,0.20674758280189262,40.71783985289539,1657.9424822860358,85416,urad^2
"(5,7)-(6,8)",18,0.24809709936227115,46.655191125676254,2176.7068589733803,85410,urad^2
"(5,7)-(6,8)",20,0.27566344373585683,50.412454855456474,2541.4156045534373,85406,urad^2
"(5,7)-(6,8)",23,0.3170129602962354,55.70827393938846,3103.411785305948,85400,urad^2
"(5,7)-(6,8)",27,0.37214564904340675,62.11158550340006,3857.849053746176,85392,urad^2
"(5,7)-(6,8)",31,0.4272783377905781,67.75867522898417,4591.238068786954,85384,urad^2
"(5,7)-(6,8)",36,0.4961941987245423,73.80756943635062,5447.557306101718,85374,urad^2
"(5,7)-(6,8)",41,0.5651100596585065,78.83012018675242,6214.187848657833,85364,urad^2
"(5,7)-(6,8)",47,0.6478090927792636,83.68209863106057,7002.69363129855,85352,urad^2
"(5,7)-(6,8)",54,0.7442912980868135,88.02244249086161,7747.950382057038,85338,urad^2
"(5,7)-(6,8)",62,0.8545566755811562,91.67485700568997,8404.279407013704,85322,urad^2
"(5,7)-(6,8)",72,0.9923883974490846,94.91018396043471,9007.943019403558,85302,urad^2
"(6,4)-(8,6)",1,0.013783172186792841,43.01925182155503,1850.6560272863658,85444,urad^2
"(6,4)-(8,6)",2,0.027566344373585683,31.26326107761883,977.3914932073563,85442,urad^2
"(6,4)-(8,6)",3,0.041349516560378524,26.617534090845147,708.4931210773036,85440,urad^2
"(6,4)-(8,6)",4,0.055132688747171366,24.759244288780618,613.0201777515157,85438,urad^2
"(6,4)-(8,6)",5,0.06891586093396421,24.41104950305666,595.8993378406828,85436,urad^2
"(6,4)-(8,6)",6,0.08269903312075705,24.941924986759272,622.0996220451266,85434,urad^2
"(6,4)-(8,6)",7,0.09648220530754989,26.02773040755619,677.4427501684253,85432,urad^2
"(6,4)-(8,6)",9,0.12404854968113557,29.091372896159235,846.3079769833881,85428,urad^2
"(6,4)-(8,6)",10,0.13783172186792841,30.842414102335784,951.2545076599613,85426,urad^2
"(6,4)-(8,6)",11,0.15161489405472126,32.63585813180773,1065.0992359994807,85424,urad^2
"(6,4)-(8,6)",13,0.17918123842830694,36.208744680674556,1311.073191350278,85420,urad^2
"(6,4)-(8,6)",15,0.20674758280189262,39.63029248785619,1570.5600826730304,85416,urad^2
"(6,4)-(8,6)",18,0.24809709936227115,44.30807093694873,1963.205150153681,85410,urad^2
"(6,4)-(8,6)",20,0.27566344373585683,47.07981878099147,2216.5093364509967,85406,urad^2
"(6,4)-(8,6)",23,0.3170129602962354,50.71727252454698,2572.241732329168,85400,urad^2
"(6,4)-(8,6)",27,0.37214564904340675,54.68739845396924,2990.7115496631973,85392,urad^2
"(6,4)-(8,6)",31,0.4272783377905781,57.850064155005164,3346.6299227382137,85384,urad^2
"(6,4)-(8,6)",36,0.4961941987245423,60.98506005277817,3719.177549640959,85374,urad^2
"(6,4)-(8,6)",41,0.5651100596585065,63.485321652636316,4030.3860653386937,85364,urad^2
"(6,4)-(8,6)",47,0.6478090927792636,65.83752041599861,4334.579094527034,85352,urad^2
"(6,4)-(8,6)",54,0.7442912980868135,67.73266966504725,4587.714539954412,85338,urad^2
"(6,4)-(8,6)",62,0.8545566755811562,68.81012342882404,4734.833086289998,85322,urad^2
"(6,4)-(8,6)",72,0.9923883974490846,68.75554125254752,4727.324452930763,85302,urad^2
"(7,7)-(8,8)",1,0.013783172186792841,39.72286943608636,1577.9063562363642,85444,urad^2
"(7,7)-(8,8)",2,0.027566344373585683,33.82200129543497,1143.9277716284048,85442,urad^2
"(7,7)-(8,8)",3,0.041349516560378524,35.79671351798216,1281.404698688487,85440,urad^2
"(7,7)-(8,8)",4,0.055132688747171366,40.67812634694093,1654.7099630976895,85438,urad^2
"(7,7)-(8,8)",5,0.06891586093396421,46.66397660535692,2177.5267126252984,85436,urad^2
"(7,7)-(8,8)",6,0.08269903312075705,53.10483048931007,2820.1230212983564,85434,urad^2
"(7,7)-(8,8)",7,0.09648220530754989,59.70867826334681,3565.126259955864,85432,urad^2
"(7,7)-(8,8)",9,0.12404854968113557,73.00597978778006,5329.8730847737515,85428,urad^2
"(7,7)-(8,8)",10,0.13783172186792841,79.5874977610832,6334.169799870424,85426,urad^2
"(7,7)-(8,8)",11,0.15161489405472126,86.07792570317324,7409.409293361013,85424,urad^2
"(7,7)-(8,8)",13,0.17918123842830694,98.73744180151124,9749.08241350682,85420,urad^2
"(7,7)-(8,8)",15,0.20674758280189262,110.90038593005524,12298.895599435193,85416,urad^2
"(7,7)-(8,8)",18,0.24809709936227115,128.09171847099296,16407.48834085212,85410,urad^2
"(7,7)-(8,8)",20,0.27566344373585683,138.81189916871438,19268.74335082533,85406,urad^2
"(7,7)-(8,8)",23,0.3170129602962354,153.76785276759844,23644.55254475783,85400,urad^2
"(7,7)-(8,8)",27,0.37214564904340675,171.64301899251564,29461.325968865087,85392,urad^2
"(7,7)-(8,8)",31,0.4272783377905781,187.28072439762917,35074.06973090073,85384,urad^2
"(7,7)-(8,8)",36,0.4961941987245423,203.96709324652494,41602.5751274366,85374,urad^2
"(7,7)-(8,8)",41,0.5651100596585065,217.85987819591145,47462.92652753737,85364,urad^2
"(7,7)-(8,8)",47,0.6478090927792636,231.41880766709974,53554.6645420621,85352,urad^2
"(7,7)-(8,8)",54,0.7442912980868135,243.75503087156034,59416.51507519533,85338,urad^2
"(7,7)-(8,8)",62,0.8545566755811562,254.32106997800605,64679.20663475785,85322,urad^2
"(7,7)-(8,8)",72,0.9923883974490846,263.7726395534275,69576.00537698239,85302,urad^2
