Frequency_Hz,Frequency_MHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959,20260522_135524
75907661.437988281,75.907661437988,8.5991457973223744e-06,4.0622040502766592e-05,2.4018663476417892e-05,2.305342131135734e-05,4.4607888009377248e-05,2.491360979427759e-05
75907806.396484375,75.907806396484,9.1740008575260852e-06,2.6326938809783614e-05,2.7121443467217873e-05,2.3350708455907507e-05,4.552163326469158e-05,1.7628954506779966e-05
75907951.354980469,75.907951354980,1.1065242250263413e-05,2.8956044483561737e-05,2.4826836100004656e-05,2.2153459003781441e-05,4.4119648218760273e-05,1.9988400696813883e-05
75908096.313476562,75.908096313477,9.1470053232664679e-06,3.1654439120569e-05,2.538054303492616e-05,1.6070483930304599e-05,3.2286431856602916e-05,1.7963223756307279e-05
75908241.271972656,75.908241271973,7.8398812624527917e-06,2.5666987644322907e-05,3.3816315381875417e-05,1.6289665593916279e-05,3.9652751856367325e-05,1.9510898384872382e-05
75908386.23046875,75.908386230469,8.6164016581992697e-06,2.7137556104638861e-05,3.6785325000887965e-05,2.2271283473735144e-05,2.9270171490043462e-05,1.4781941338700883e-05
75908531.188964844,75.908531188965,9.6328621391800171e-06,2.9368984886880774e-05,2.6731239296645252e-05,2.3114662264090175e-05,3.2832533783684503e-05,1.9702155445211531e-05
75908676.147460938,75.908676147461,1.1568794249001375e-05,2.1477105463337852e-05,2.0643478310465442e-05,2.1431014091715176e-05,3.4288471082922828e-05,2.5375643009153904e-05
75908821.105957031,75.908821105957,1.1487206298229402e-05,2.4325489580277176e-05,2.141420697742841e-05,2.6564317823719916e-05,3.8553016567531203e-05,2.5728545287617538e-05
75908966.064453125,75.908966064453,1.1688527573349587e-05,3.8840675134271738e-05,2.0099562293749934e-05,2.2131122075898874e-05,3.2054010753813084e-05,2.3766461097798689e-05
75909111.022949219,75.909111022949,1.1142516370822645e-05,3.6069512247198289e-05,2.9532836809094309e-05,2.0633769602844449e-05,2.9675211773873082e-05,1.9357899422628821e-05
75909255.981445312,75.909255981445,1.0824069711620382e-05,3.3165994344036402e-05,3.1348360851666553e-05,2.4562763826947763e-05,3.5948135950401824e-05,1.6640495797309e-05
75909400.939941406,75.909400939941,1.034187091700795e-05,3.0870814528562106e-05,3.0343393294433334e-05,1.8017679311816729e-05,4.0464035519588624e-05,1.9620246457322265e-05
75909545.8984375,75.909545898438,1.1402316200546126e-05,2.55352208720299e-05,2.3118967430039345e-05,1.564779469950734e-05,3.1115965418008621e-05,2.4009101605812302e-05
75909690.856933594,75.909690856934,1.2293900600597132e-05,2.5237012501742343e-05,1.4224662374933077e-05,2.3199877841145619e-05,3.2436679289491931e-05,2.0255552355114431e-05
75909835.815429688,75.909835815430,1.1447333812795521e-05,3.7973235271249325e-05,2.5018379912832638e-05,2.5322582062864418e-05,3.4273730260894217e-05,2.1580495251174933e-05
75909980.773925781,75.909980773926,1.0902089072294371e-05,4.0999766614485534e-05,3.1097957123424798e-05,2.4777174061476695e-05,3.070721196195362e-05,2.6522818198821434e-05
75910125.732421875,75.910125732422,1.1561838280330378e-05,3.4701325010945144e-05,2.8772631604043292e-05,2.759618099973169e-05,4.1893939341561579e-05,2.2621267365093406e-05
75910270.690917969,75.910270690918,1.0950417081251399e-05,3.4036440218085018e-05,2.5067910057730867e-05,3.4011660346296785e-05,4.4204438429842723e-05,2.1617027643607353e-05
75910415.649414062,75.910415649414,1.4795744035152006e-05,2.6740479096130913e-05,2.4013338769871908e-05,2.5274217413778843e-05,4.4704909700077485e-05,1.9310184716867842e-05
75910560.607910156,75.910560607910,1.387178462227155e-05,2.7842089818355121e-05,2.6205560556563465e-05,2.4186334024247425e-05,2.874220968597761e-05,1.8833521710753704e-05
75910705.56640625,75.910705566406,8.2712624530893899e-06,3.6093959652133117e-05,1.6032098513972463e-05,2.4612792586934571e-05,3.0088970078345971e-05,1.7247568803974834e-05
75910850.524902344,75.910850524902,1.1754028287097353e-05,3.3846779459127397e-05,2.437984120902671e-05,2.0484654576396879e-05,3.4466487795789884e-05,1.9865165657016317e-05
75910995.483398438,75.910995483398,1.3147371725701357e-05,4.0142785949943266e-05,2.5340398232811458e-05,1.6672342481011574e-05,2.7881883347067171e-05,2.1235657774475359e-05
75911140.441894531,75.911140441895,1.2036129150043097e-05,3.5819080961504493e-05,2.6209182608143995e-05,1.6842466045329412e-05,3.1305928633041916e-05,2.1668410892567356e-05
75911285.400390625,75.911285400391,1.1670585460737639e-05,3.3536041683195285e-05,2.4238881675106344e-05,1.3568977560088175e-05,4.1643552534393612e-05,3.0815905495872777e-05
75911430.358886719,75.911430358887,1.4100955058971343e-05,3.0581705557076242e-05,2.1332974007238411e-05,1.3885211898421805e-05,4.8371874859811258e-05,2.4309507203894031e-05
75911575.317382812,75.911575317383,1.4361804835817404e-05,2.4130291038539549e-05,2.4229975303471615e-05,1.8480535192425739e-05,4.6995959648277726e-05,1.9667007260349633e-05
75911720.275878906,75.911720275879,1.1748441033467125e-05,2.369563240944592e-05,2.2588669429431547e-05,1.7387652210790402e-05,3.6969110004574648e-05,1.4203090452549453e-05
75911865.234375,75.911865234375,1.0329995062151775e-05,2.4506281326395883e-05,2.7234423192425649e-05,2.3877519005672459e-05,3.3680264653061269e-05,2.2364174876301145e-05
75912010.192871094,75.912010192871,1.0948336778823119e-05,2.3655854684581575e-05,2.6303317035069755e-05,2.8736311506391442e-05,3.2614856847513362e-05,2.6308690841068677e-05
75912155.151367188,75.912155151367,1.0938234660625708e-05,3.0453753887579968e-05,2.2468416500942617e-05,2.3493003289291457e-05,2.6485568200060937e-05,2.1449345459732317e-05
75912300.109863281,75.912300109863,1.2850071262838758e-05,4.167514446551727e-05,2.2031158179906439e-05,1.7833002268466929e-05,3.2419164511678073e-05,2.226016786622502e-05
75912445.068359375,75.912445068359,9.2621411329379648e-06,4.6027266376683249e-05,2.3444840518556114e-05,2.7083757479785996e-05,3.0952970202309636e-05,2.1793849621914194e-05
75912590.026855469,75.912590026855,9.8564335365822207e-06,4.2449998579958908e-05,1.9571442805851339e-05,2.8830644992864043e-05,2.8269811041645712e-05,2.1740972488830704e-05
75912734.985351562,75.912734985352,1.006204076757772e-05,2.6932990513258703e-05,2.6620166393875806e-05,2.2912606898077261e-05,3.3328235761217837e-05,2.3653904633004569e-05
75912879.943847656,75.912879943848,1.146110070224519e-05,2.791881466422676e-05,2.8628577195726959e-05,2.0116821675945015e-05,3.3674352555665085e-05,2.5796625246432877e-05
75913024.90234375,75.913024902344,8.170237678196431e-06,3.203163444794983e-05,2.9535829551171934e-05,2.2556749142072688e-05,3.7893885954772867e-05,1.7267348941338198e-05
75913169.860839844,75.913169860840,1.104400529197709e-05,4.0837176544694651e-05,3.0520529184822663e-05,2.6443582662714217e-05,4.395447197169713e-05,1.8800877666763952e-05
75913314.819335938,75.913314819336,1.3916331130648804e-05,3.6992500413889899e-05,2.7945155431112369e-05,2.1310659290586518e-05,4.4448698658162897e-05,1.9220878783760397e-05
75913459.777832031,75.913459777832,1.2161859645574603e-05,3.1619262897741056e-05,2.0663660532539708e-05,2.3925080497649571e-05,4.0104364311627721e-05,2.6661055766557755e-05
75913604.736328125,75.913604736328,1.0754890203993171e-05,2.9282976380098454e-05,1.7990443371555177e-05,3.1041280852229863e-05,4.3890582541382572e-05,2.9374646612614269e-05
75913749.694824219,75.913749694824,1.0921092998024743e-05,2.5323928969350783e-05,2.604876381924725e-05,2.9864702472194909e-05,3.6154656158319342e-05,2.5747947255006072e-05
75913894.653320312,75.913894653320,1.1789378905351776e-05,2.7523954686384889e-05,2.5483623188495308e-05,2.8325959358489701e-05,3.4551619109642203e-05,2.1268185388629992e-05
75914039.611816406,75.914039611816,1.1845650600738e-05,2.9207197482003027e-05,2.0278116472366011e-05,2.3818657347030078e-05,3.5108256494238748e-05,2.2645919217914514e-05
75914184.5703125,75.914184570312,1.1683554765530123e-05,3.5089642403682809e-05,1.7521988748904925e-05,2.0261464215132729e-05,3.2353253550174807e-05,2.3241398544912736e-05
75914329.528808594,75.914329528809,1.0005432893061641e-05,2.9239679463759608e-05,1.9229284042882315e-05,1.9631138111995035e-05,2.7240878476127203e-05,2.6462028707924308e-05
75914474.487304688,75.914474487305,8.0946015095486256e-06,2.8075122550470692e-05,2.451721553924951e-05,2.0496054336723511e-05,3.1413286419580082e-05,2.3309094712760055e-05
75914619.445800781,75.914619445801,8.9926972146514841e-06,2.5877887510495301e-05,2.4267089955822955e-05,1.9758621669798122e-05,2.4699019374188555e-05,2.4176216752723592e-05
75914764.404296875,75.914764404297,9.2148291252936383e-06,2.8178431521564975e-05,2.405379089979883e-05,2.6430730299482586e-05,3.2329107560896789e-05,1.9996012668478232e-05
75914909.362792969,75.914909362793,1.0594985357288668e-05,3.2142341805094894e-05,2.3661098505843296e-05,2.8641471540943179e-05,3.9262980994557354e-05,2.0312247316678182e-05
75915054.321289062,75.915054321289,9.5197322201356778e-06,2.9050361572047661e-05,2.7151992635022218e-05,2.3420458314431138e-05,4.5829347872270166e-05,2.6850908986074611e-05
75915199.279785156,75.915199279785,1.3611496693692598e-05,3.7927612381203633e-05,2.6321616142255934e-05,2.139499935705889e-05,4.0068161335508622e-05,2.8581055403609678e-05
75915344.23828125,75.915344238281,1.1864392070696569e-05,3.9199235045028378e-05,2.9878628189332943e-05,2.0316805050663973e-05,3.3173764821175253e-05,2.7581257286884708e-05
75915489.196777344,75.915489196777,1.0076518603810892e-05,4.3985965862613488e-05,2.8029434803787557e-05,2.3616753152171226e-05,3.638222800562527e-05,2.3500929461214996e-05
75915634.155273438,75.915634155273,1.1065902766884846e-05,5.1249386248289419e-05,2.1277534703903729e-05,2.4921286050772076e-05,3.4669084184878825e-05,1.8043225644408184e-05
75915779.113769531,75.915779113770,1.4070137058857837e-05,4.1331835031707559e-05,2.4885499931532247e-05,3.0077701892573692e-05,3.8715942026080003e-05,2.0266598185875896e-05
75915924.072265625,75.915924072266,1.0047204677597259e-05,3.6418591406172274e-05,2.6824580103086125e-05,2.4561931067376671e-05,4.1719385541117164e-05,1.7288393956304717e-05
75916069.030761719,75.916069030762,1.1599851459237172e-05,3.7027869239443854e-05,2.2649614466796153e-05,2.5303850739418062e-05,3.7364011770498452e-05,1.8702146847669829e-05
75916213.989257812,75.916213989258,1.5416199693413484e-05,3.3019870390409361e-05,2.4127949865092466e-05,2.6525299007144552e-05,3.9503144930905945e-05,1.9103291868531808e-05
75916358.947753906,75.916358947754,1.1410681270058477e-05,3.1223225728533625e-05,3.30573104547306e-05,1.5689698711442699e-05,3.4543699406810798e-05,2.1709576447799435e-05
75916503.90625,75.916503906250,8.3766042985737993e-06,2.6416076860717327e-05,3.3598043446445795e-05,2.2569897395927591e-05,3.7176211724875958e-05,2.8441566429748436e-05
75916648.864746094,75.916648864746,9.584472615961034e-06,4.1133358506283492e-05,2.3661955084870321e-05,2.1718639077737278e-05,3.249957384750371e-05,3.0490264868902904e-05
75916793.823242188,75.916793823242,1.2726095220301224e-05,5.4236808638606136e-05,1.7626421112199535e-05,2.1829386765627839e-05,3.7993619312243795e-05,2.6287860411624744e-05
75916938.781738281,75.916938781738,1.2757455650422593e-05,3.8602848339488793e-05,2.2341281425119653e-05,2.1746327312007022e-05,4.6704727200058747e-05,2.2173093850940863e-05
75917083.740234375,75.917083740234,1.3229947971167759e-05,2.2808928926395612e-05,3.3818309125199031e-05,1.9974795361340657e-05,3.5846222913523647e-05,2.2283232839860883e-05
75917228.698730469,75.917228698730,1.2756871902397247e-05,3.5371575787719123e-05,3.4193387498471505e-05,2.0093773274948125e-05,3.1470704941175619e-05,1.7164209959059582e-05
75917373.657226562,75.917373657227,1.096128385931144e-05,3.575606472565876e-05,2.8282509411474491e-05,2.6352749319750821e-05,4.331567094754366e-05,2.4876902870302471e-05
75917518.615722656,75.917518615723,1.0678332894180531e-05,2.9014359508586899e-05,2.1522313003895943e-05,2.6187815642967851e-05,3.8150897201074555e-05,2.7739173164759113e-05
75917663.57421875,75.917663574219,1.0136675033427717e-05,2.5102414313712161e-05,2.1310550730239022e-05,2.0297054304691961e-05,4.4022080553469907e-05,2.4505198749291161e-05
75917808.532714844,75.917808532715,9.657113250956394e-06,2.9461206809499242e-05,2.5126941049059519e-05,1.9942683014069612e-05,3.8518747138688075e-05,2.3336588350440017e-05
75917953.491210938,75.917953491211,1.3388373711757708e-05,3.281940532135112e-05,2.9996755136365051e-05,2.5831405522944354e-05,3.2556624126314688e-05,2.5211836974691756e-05
75918098.449707031,75.918098449707,1.226821429250271e-05,3.4712420412349677e-05,2.4007792907250263e-05,2.6334460352270639e-05,3.8037094092879059e-05,2.3348537624556911e-05
75918243.408203125,75.918243408203,1.1866054495294587e-05,3.7326024657544637e-05,2.1862237546708254e-05,2.4526784720120032e-05,3.3124568228087484e-05,2.215384507722123e-05
75918388.366699219,75.918388366699,1.483787667524018e-05,3.4796998295610548e-05,2.1621243673045082e-05,1.8523144248882982e-05,3.1425414080052458e-05,1.9606325483743041e-05
75918533.325195312,75.918533325195,1.3683193779220654e-05,3.450451242872652e-05,3.2300053533267302e-05,1.6092995251377698e-05,3.1635872335426846e-05,2.1066916179551188e-05
75918678.283691406,75.918678283691,1.2149142980092016e-05,3.2178207048017934e-05,3.1365663020437511e-05,1.8194897530758959e-05,3.7632756027634663e-05,2.5152508276569188e-05
75918823.2421875,75.918823242188,1.2878401487273199e-05,3.6997654525824841e-05,2.2585445365002989e-05,1.924156190220544e-05,3.3417700216674e-05,2.167633120404245e-05
75918968.200683594,75.918968200684,1.4016362620360359e-05,3.1307145427889163e-05,2.1587651969129964e-05,2.3946744017637634e-05,2.7636212070634383e-05,2.103764318963391e-05
75919113.159179688,75.919113159180,1.2295114909386173e-05,2.3571759286324737e-05,3.3781051810801452e-05,2.809117430263455e-05,3.7341967314063322e-05,2.0265880111493257e-05
75919258.117675781,75.919258117676,8.7884677352812193e-06,3.0482024817335047e-05,3.1764521333230833e-05,2.138730619075157e-05,3.9476805972655545e-05,2.8309527769539673e-05
75919403.076171875,75.919403076172,1.132887467192051e-05,3.3672065323415865e-05,3.2594551739915806e-05,2.0935532144201586e-05,3.2225669807054165e-05,2.2315563947145024e-05
75919548.034667969,75.919548034668,1.0916685792758621e-05,2.9786748808720131e-05,2.9493848910542e-05,2.3634018532500673e-05,4.4407143496994212e-05,2.1786323763372911e-05
75919692.993164062,75.919692993164,1.0746026569630953e-05,2.5390872947538805e-05,1.900078116448518e-05,2.3015069140426229e-05,4.5569696367151812e-05,2.0645871145710256e-05
75919837.951660156,75.919837951660,1.0258962439752129e-05,2.8669919355402072e-05,2.1857264423629461e-05,2.7888290159806268e-05,3.9085152166719196e-05,1.4928767702765472e-05
75919982.91015625,75.919982910156,1.0435426014523296e-05,3.870289494670253e-05,2.505360760708731e-05,3.0157614885056777e-05,3.4938068009674413e-05,1.5206119851673994e-05
75920127.868652344,75.920127868652,1.1010087845108999e-05,4.6095762076986963e-05,2.7149070922105598e-05,2.5272405413378315e-05,3.3225089900791294e-05,2.2504159223818934e-05
75920272.827148438,75.920272827148,1.0364725085999046e-05,3.6868663823877886e-05,2.9609255433210706e-05,1.6386989709499073e-05,3.1347371153804539e-05,1.9307907898314136e-05
75920417.785644531,75.920417785645,1.1834030968662087e-05,4.4453576294276788e-05,2.8938318121337978e-05,2.0234057861580886e-05,3.0665902765563725e-05,2.2152950156710371e-05
75920562.744140625,75.920562744141,1.2996113572803593e-05,3.5364411128904157e-05,3.0937436867704581e-05,2.3190835911325801e-05,3.1426730480080348e-05,1.8058994287399405e-05
75920707.702636719,75.920707702637,1.2959605620349086e-05,3.622967398087512e-05,2.7374397205339203e-05,1.6901704528768698e-05,3.5143280536902254e-05,1.3693298841181225e-05
75920852.661132812,75.920852661133,9.0696603761624186e-06,3.0928823280767912e-05,3.4340763962446465e-05,1.9653497717054006e-05,3.7005700494540868e-05,2.0069265586314948e-05
75920997.619628906,75.920997619629,1.0859754932786427e-05,3.0571651269279224e-05,3.3088771950688667e-05,2.7403912871933222e-05,4.8912523055181207e-05,2.0445827194668338e-05
75921142.578125,75.921142578125,9.7245192533810616e-06,2.2319678956635896e-05,2.786196431979713e-05,2.8152301911291703e-05,4.2549125570083034e-05,2.3357768301871901e-05
75921287.536621094,75.921287536621,1.0867702397303845e-05,3.0195166957343233e-05,2.4741343850070954e-05,2.7259192523995906e-05,3.2627720285922769e-05,1.9149692511241357e-05
75921432.495117188,75.921432495117,9.7433223700789172e-06,3.7921859443193139e-05,2.6974493649390994e-05,2.385621240949754e-05,4.1010263744503331e-05,1.5637660740600566e-05
75921577.453613281,75.921577453613,9.2265816902155955e-06,3.3955618957745229e-05,2.3402681297471283e-05,2.3746186111313236e-05,4.346711869616496e-05,2.2990180368387383e-05
75921722.412109375,75.921722412109,7.4965447062468681e-06,4.8020895829549319e-05,2.4694676395773245e-05,2.7877805213294588e-05,3.3967140383207143e-05,2.3246584910579725e-05
75921867.370605469,75.921867370605,1.2449894329330761e-05,3.9825476520330721e-05,2.6491636562106033e-05,1.8718990672005651e-05,3.3207691188188596e-05,2.0604531837213667e-05
75922012.329101562,75.922012329102,1.2781284373986446e-05,3.1736182178313514e-05,3.0446273016394627e-05,1.7258645182620345e-05,4.0078371880612687e-05,2.3325162269441405e-05
75922157.287597656,75.922157287598,1.3635773950593217e-05,3.5141703689298551e-05,3.0693220014364033e-05,2.0613219871180291e-05,4.0919291033939772e-05,2.4853511199313505e-05
75922302.24609375,75.922302246094,1.2403785846419027e-05,3.538562382972298e-05,2.9811463443002646e-05,1.9401125736206507e-05,3.0460915125574409e-05,2.2862923716187432e-05
75922447.204589844,75.922447204590,1.1772112082649577e-05,3.2005546632814184e-05,2.7395795745975932e-05,2.3586011969040861e-05,4.5826335365713645e-05,2.1667343725300421e-05
75922592.163085938,75.922592163086,1.3394995582297561e-05,4.9109582816676153e-05,2.2787959794891497e-05,2.4555820261670559e-05,3.691894438430243e-05,1.9482589872862602e-05
75922737.121582031,75.922737121582,1.2396132096542651e-05,3.6541956067419015e-05,2.1411089103900428e-05,1.7204572749669571e-05,3.3976067286441611e-05,1.8960249242965705e-05
75922882.080078125,75.922882080078,1.4496551539032413e-05,2.9978303298836861e-05,2.2236107622987269e-05,2.4862455215434022e-05,3.8466205841630695e-05,2.2563401123122301e-05
75923027.038574219,75.923027038574,1.5883377727207484e-05,2.7025339678103244e-05,3.1325622272703976e-05,2.1626924542722351e-05,3.4834815290869801e-05,2.8672609852211041e-05
75923171.997070312,75.923171997070,1.2789572379175821e-05,2.992465438810292e-05,2.6303984944165285e-05,2.3975054186950618e-05,4.0459550603397321e-05,3.0624209718646404e-05
