Frequency_Hz,Frequency_MHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
76703338.623046875,76.703338623047,1.1617677150232185e-05,3.5273457399265706e-05,2.0486119285838741e-05,2.3150422304434847e-05,4.6821884668143271e-05
76703483.581542969,76.703483581543,1.169606187139084e-05,3.1923340223867863e-05,2.2845786167629215e-05,2.2339543287753307e-05,2.6837431537474751e-05
76703628.540039062,76.703628540039,1.3138107823756048e-05,3.1379068344689743e-05,2.8460152021387234e-05,2.0927281794159111e-05,2.2600402325984394e-05
76703773.498535156,76.703773498535,1.3425411104764828e-05,3.423819661711989e-05,2.8767799044176475e-05,1.9009558338931249e-05,2.6680565662290055e-05
76703918.45703125,76.703918457031,1.1831319757603237e-05,2.8554109569630693e-05,2.9956675367780993e-05,1.5374126012669214e-05,2.8147092429936782e-05
76704063.415527344,76.704063415527,1.4385984086430888e-05,2.5829331148721101e-05,2.7683800945195518e-05,2.2953356075463191e-05,3.5424504208933894e-05
76704208.374023438,76.704208374023,1.4116014666401457e-05,3.3436425312012737e-05,2.9803164556154753e-05,2.5732800442211835e-05,4.606213447299236e-05
76704353.332519531,76.704353332520,1.5090508267822432e-05,3.3505911390452052e-05,2.6867459726973048e-05,2.482559613523452e-05,3.9646924821496531e-05
76704498.291015625,76.704498291016,1.1092230003794898e-05,2.8419456204363254e-05,2.2601827135190505e-05,2.4131397193547648e-05,3.6415319810453743e-05
76704643.249511719,76.704643249512,1.1470335280748272e-05,2.3952104095170913e-05,1.8521101190305153e-05,2.7485250237096925e-05,3.6128849232436018e-05
76704788.208007812,76.704788208008,1.1002587819720256e-05,2.9802916183381569e-05,3.0246766205555154e-05,3.5626559402343221e-05,3.7474541309181853e-05
76704933.166503906,76.704933166504,1.0004891252365217e-05,4.0240732053663112e-05,2.7271730329601134e-05,2.9118849082740486e-05,3.5239382212936566e-05
76705078.125,76.705078125000,9.9588199646253901e-06,2.2203348848552849e-05,2.4754634372527087e-05,2.0244567709946315e-05,3.6877907786970682e-05
76705223.083496094,76.705223083496,1.6838833686623937e-05,3.1298397537082318e-05,2.7317886406944179e-05,2.426910754776507e-05,4.3636569821453369e-05
76705368.041992188,76.705368041992,1.7557813941938715e-05,3.5888106380372392e-05,2.6979651436763738e-05,2.1041099088208136e-05,4.2089772704733386e-05
76705513.000488281,76.705513000488,1.4302708475406813e-05,2.7735402604574575e-05,2.5023737616986172e-05,1.7984696925580647e-05,3.266797149309214e-05
76705657.958984375,76.705657958984,1.3606005449599168e-05,2.7178499211830551e-05,3.0595901566739546e-05,2.0870148351559134e-05,3.8963952812648699e-05
76705802.917480469,76.705802917480,1.088526389430088e-05,3.1950983661969746e-05,2.4366251530322565e-05,2.2591580303956124e-05,5.1585248569096534e-05
76705947.875976562,76.705947875977,9.3228947559054738e-06,3.9182670924623596e-05,2.2066893670860992e-05,2.2242352826705147e-05,4.564001555119277e-05
76706092.834472656,76.706092834473,1.0839521004675889e-05,3.7627643913504776e-05,2.4356397084096349e-05,1.6848451306626505e-05,3.6011379891008738e-05
76706237.79296875,76.706237792969,1.4213452677583466e-05,3.196920484533738e-05,2.2095425787699011e-05,1.623890139092227e-05,3.7230273732346117e-05
76706382.751464844,76.706382751465,1.0728869892669822e-05,2.9700087113305962e-05,2.3031293907459165e-05,1.4947365856286165e-05,3.4868371021677444e-05
76706527.709960938,76.706527709961,8.7818039399668961e-06,3.0436171524162334e-05,2.6744870335356278e-05,2.1759382642523972e-05,3.800588029074246e-05
76706672.668457031,76.706672668457,1.1786021312828908e-05,3.576851754726788e-05,2.4631097680734163e-05,2.3249695028236624e-05,4.6918065583243569e-05
76706817.626953125,76.706817626953,1.051348829438715e-05,3.3223734422506971e-05,2.3191385433567992e-05,2.603436020133962e-05,4.4513452247772772e-05
76706962.585449219,76.706962585449,1.0484852901651026e-05,3.2308795073844574e-05,3.0830338397917707e-05,2.7252537920970052e-05,3.5856083835822294e-05
76707107.543945312,76.707107543945,1.1010824193189244e-05,2.7164339911525084e-05,2.5743507211430124e-05,3.384673764859634e-05,3.0968182526456466e-05
76707252.502441406,76.707252502441,9.5664294345190163e-06,3.4050486695319193e-05,2.5174689079091737e-05,2.5407638587831837e-05,3.4129437129670532e-05
76707397.4609375,76.707397460938,8.3164889453601685e-06,3.3340866686898507e-05,2.6211022423739871e-05,1.9621440734164781e-05,3.4100334527236982e-05
76707542.419433594,76.707542419434,9.7525930046408288e-06,4.1374633914453394e-05,2.5636565975345166e-05,2.0140360613172285e-05,4.3866803636197813e-05
76707687.377929688,76.707687377930,1.1656852774541181e-05,4.3690820140838994e-05,2.7792316185448969e-05,1.7096102976761606e-05,4.7508840870969527e-05
76707832.336425781,76.707832336426,1.2598871770476918e-05,4.0928761258000036e-05,2.60594578938787e-05,1.9493527334695389e-05,3.3995209667091003e-05
76707977.294921875,76.707977294922,1.1109017617600372e-05,3.6904575294345729e-05,2.9261353930377339e-05,2.1989988659513271e-05,3.5267003903632239e-05
76708122.253417969,76.708122253418,1.0441534795298036e-05,3.1521273385220866e-05,3.5830548402849066e-05,2.1693116389396622e-05,3.4504589721888517e-05
76708267.211914062,76.708267211914,1.2521847597529999e-05,3.1820734031110339e-05,3.5871443481282943e-05,2.4299754819682912e-05,3.2536660524905281e-05
76708412.170410156,76.708412170410,1.2016853086497138e-05,2.4717948097884524e-05,3.7271122005280813e-05,2.7591999643996588e-05,4.4302156011317299e-05
76708557.12890625,76.708557128906,1.260560031173301e-05,3.3036049039817224e-05,2.4995510103240752e-05,3.0720094095414576e-05,4.1972333276467802e-05
76708702.087402344,76.708702087402,1.0175048277167157e-05,4.1146198606246746e-05,2.2454841847940874e-05,2.7675774600253973e-05,3.2218230500963655e-05
76708847.045898438,76.708847045898,1.0683043840434449e-05,3.7306986568957081e-05,2.565243268253928e-05,2.1719946399496491e-05,3.8506340188755692e-05
76708992.004394531,76.708992004395,1.1350759485149514e-05,3.7370790182771676e-05,2.4269096965388326e-05,2.1963987278624176e-05,4.6099278982610309e-05
76709136.962890625,76.709136962891,9.5669254491258845e-06,3.2050140902996186e-05,2.214359969499819e-05,1.7857957126730301e-05,5.1571378486427561e-05
76709281.921386719,76.709281921387,9.1148969537653095e-06,2.9724998732412796e-05,2.2446624197698427e-05,1.6641996776053578e-05,4.4581019949434485e-05
76709426.879882812,76.709426879883,9.3830344010385497e-06,2.8409064175005708e-05,2.5317813782492034e-05,2.3475630955337546e-05,3.8620088164793059e-05
76709571.838378906,76.709571838379,1.1160381826386338e-05,2.7941617043822253e-05,3.2408543822169743e-05,2.2645254531052469e-05,3.0059256441446814e-05
76709716.796875,76.709716796875,1.1282481717468533e-05,3.0451615660873197e-05,3.1203074723741849e-05,1.9319423833448036e-05,3.5921148251419052e-05
76709861.755371094,76.709861755371,1.5264304797064735e-05,3.4124947833489268e-05,2.7286990399782327e-05,2.1407366164264217e-05,3.592410475059017e-05
76710006.713867188,76.710006713867,1.4679901695971093e-05,3.5258649730208654e-05,1.6914057966665011e-05,1.648563243457101e-05,3.9160561038253593e-05
76710151.672363281,76.710151672363,1.3463243815753092e-05,3.3481115904218772e-05,1.7902898964101492e-05,1.9991200790355424e-05,4.2298490665238793e-05
76710296.630859375,76.710296630859,1.2870805787950277e-05,3.9516888899148521e-05,2.1804449896609269e-05,2.1634984342707099e-05,4.9499653050325515e-05
76710441.589355469,76.710441589355,1.0824727937799694e-05,4.9149750108692892e-05,2.604607205185177e-05,2.2290623268320118e-05,4.1570638381947927e-05
76710586.547851562,76.710586547852,1.3455623259660887e-05,3.5868710545043765e-05,2.5193415091954347e-05,2.3504828583298759e-05,3.0672292239588215e-05
76710731.506347656,76.710731506348,1.3102598277945845e-05,3.0386352677250783e-05,2.2529654501700132e-05,1.9395626286430499e-05,4.016087076147472e-05
76710876.46484375,76.710876464844,9.6159372224598494e-06,3.2392302374693248e-05,2.3422263273796414e-05,1.7040660335344188e-05,4.7183642384212086e-05
76711021.423339844,76.711021423340,9.6710522564895419e-06,3.7913604203422389e-05,2.7117536447069276e-05,2.2194241563218696e-05,4.1503825116139272e-05
76711166.381835938,76.711166381836,1.4294718534684594e-05,3.7713121732038617e-05,3.23736289423756e-05,2.6107843292605487e-05,3.8511785395821253e-05
76711311.340332031,76.711311340332,1.4965807007270771e-05,2.2061348237168256e-05,2.2090424608744924e-05,2.263059801301866e-05,3.7549709851704465e-05
76711456.298828125,76.711456298828,1.5905800953973709e-05,2.7263252163811689e-05,2.4502184161058867e-05,2.4715164325154347e-05,3.8881725284734116e-05
76711601.257324219,76.711601257324,1.4466067429012887e-05,3.4928614254437362e-05,2.5383250084948587e-05,2.3308180629372771e-05,3.3149991440880901e-05
76711746.215820312,76.711746215820,1.2089173235197033e-05,3.0284046471264903e-05,2.4134266841056189e-05,2.5895647969697509e-05,3.21529672224232e-05
76711891.174316406,76.711891174316,1.3054741463214652e-05,2.9570434070708596e-05,2.152014336401442e-05,2.0262395354186689e-05,3.7961335543807242e-05
76712036.1328125,76.712036132812,1.2358827132784906e-05,3.668115947849692e-05,2.4345692526865956e-05,2.2587470712915053e-05,2.4802853875067956e-05
76712181.091308594,76.712181091309,1.3763436628048475e-05,3.8680755637583181e-05,2.3451835150686969e-05,2.2955415073185542e-05,2.9915819064249371e-05
76712326.049804688,76.712326049805,1.4873490594352233e-05,3.4182307711244512e-05,2.8317949605353078e-05,1.9827258157775757e-05,3.7615543651179479e-05
76712471.008300781,76.712471008301,1.5137810907651287e-05,3.5647658530822273e-05,3.3221740636500628e-05,2.6095098963613193e-05,3.2378922332784726e-05
76712615.966796875,76.712615966797,1.3955034801082224e-05,3.2849043153951438e-05,2.513920275331091e-05,3.1397052011819355e-05,3.6018565530049175e-05
76712760.925292969,76.712760925293,1.1991278583260484e-05,2.9773388006216794e-05,2.876331982619954e-05,2.0402699261353979e-05,3.8450768021825437e-05
76712905.883789062,76.712905883789,1.264108030731962e-05,3.6919490306250058e-05,2.9898640150973545e-05,2.0484057892469568e-05,3.9680641780126472e-05
76713050.842285156,76.713050842285,1.3696828285263801e-05,4.1077050468968346e-05,2.4951377059290992e-05,2.6840728046312138e-05,2.4408184834511968e-05
76713195.80078125,76.713195800781,1.3539031324912779e-05,4.2985176638926118e-05,3.5615331608648666e-05,1.94314740003903e-05,3.3132213587436915e-05
76713340.759277344,76.713340759277,1.183181383064746e-05,3.5922042082876517e-05,3.0808514881505033e-05,1.8450068414774593e-05,4.123971924771239e-05
76713485.717773438,76.713485717773,1.4321727468126212e-05,2.7821117025390534e-05,2.5682086912422269e-05,2.4806041857275325e-05,3.7212190641212657e-05
76713630.676269531,76.713630676270,1.5756379046874217e-05,2.3834171588823539e-05,2.8284766590772248e-05,2.2695452826928287e-05,4.2527416743641889e-05
76713775.634765625,76.713775634766,1.500114486301044e-05,3.1147589657920817e-05,2.8254630587349685e-05,2.2383978570396606e-05,4.2135775903362565e-05
76713920.593261719,76.713920593262,1.5867190768142503e-05,3.6597179437967518e-05,2.5930839343122655e-05,2.1525799410046868e-05,3.3099240263817077e-05
76714065.551757812,76.714065551758,1.233028585754855e-05,3.6845473081955111e-05,2.4014144273321464e-05,2.2391007054564584e-05,4.2863315946279575e-05
76714210.510253906,76.714210510254,9.9911341098106028e-06,2.5742289078646097e-05,2.9107172486970027e-05,1.7477034009615222e-05,3.998224896654217e-05
76714355.46875,76.714355468750,1.1686532348079021e-05,1.9407130812019856e-05,3.0187596858723155e-05,1.9875179963498729e-05,4.1301984605614308e-05
76714500.427246094,76.714500427246,1.1593654525535898e-05,2.6135581729587251e-05,2.4252219804801484e-05,1.8956829144302898e-05,3.7264480708966002e-05
76714645.385742188,76.714645385742,8.5681956886443083e-06,2.7187464918364653e-05,2.453787788572045e-05,2.1467805813574301e-05,3.994839545344119e-05
76714790.344238281,76.714790344238,9.0665768700900615e-06,3.8450649819357435e-05,2.7215770900846173e-05,2.2208265473454161e-05,4.1571845623356906e-05
76714935.302734375,76.714935302734,1.1335424172773141e-05,4.7283458287842064e-05,1.8041502003191992e-05,2.824967786365321e-05,3.8712580606566587e-05
76715080.261230469,76.715080261230,1.092584465155529e-05,3.4717742207562682e-05,1.7131787179875702e-05,2.4490712524373664e-05,3.7195621240280354e-05
76715225.219726562,76.715225219727,1.1582594547850375e-05,3.4308668931899765e-05,1.921351635143136e-05,2.7290359828403494e-05,3.8092227358772888e-05
76715370.178222656,76.715370178223,9.226027130164361e-06,3.7271487014689965e-05,2.1156551643965153e-05,2.6495381434887097e-05,3.7396667349105067e-05
76715515.13671875,76.715515136719,1.2543453633811276e-05,3.8275147134959946e-05,1.3842360925952373e-05,1.9295187390957827e-05,4.5347275390535129e-05
76715660.095214844,76.715660095215,1.0920831508992085e-05,3.0281595712901592e-05,1.903185089190986e-05,2.0393209809428368e-05,3.9339830634335115e-05
76715805.053710938,76.715805053711,1.1361830792895574e-05,3.358939020274458e-05,2.3639531552354557e-05,2.1744356926661814e-05,2.8672775047357608e-05
76715950.012207031,76.715950012207,1.2375434823429873e-05,3.3359585369476507e-05,2.7011496211532678e-05,2.4044191725826749e-05,2.6552170562095002e-05
76716094.970703125,76.716094970703,1.3679897355527027e-05,3.2865508453672115e-05,2.2441757376468552e-05,1.4894928980922997e-05,3.4177434830923453e-05
76716239.929199219,76.716239929199,1.1055386580411266e-05,3.6335347522306691e-05,2.3326381097184724e-05,2.0356945456459799e-05,3.2914335325779869e-05
76716384.887695312,76.716384887695,1.2253872522472847e-05,2.9352996155496324e-05,2.3104712825971739e-05,2.5980237400343048e-05,4.0119257225418896e-05
76716529.846191406,76.716529846191,1.3235734459746379e-05,4.0257217849161356e-05,2.2283159930082246e-05,2.0504417141157186e-05,4.3633908575441527e-05
76716674.8046875,76.716674804688,1.2293694938193593e-05,3.9257105305041536e-05,3.2216437283208576e-05,2.2960117791756201e-05,3.1225284067436091e-05
76716819.763183594,76.716819763184,1.1850316467497065e-05,3.4429301944977503e-05,3.2731367015866824e-05,2.280171518021271e-05,2.6992983205378646e-05
76716964.721679688,76.716964721680,8.5402869062000132e-06,3.8015771647335196e-05,2.5340158708415433e-05,2.3747537338722591e-05,2.8443869188481726e-05
76717109.680175781,76.717109680176,9.0039477863662984e-06,3.9986431832873482e-05,2.557519611768764e-05,2.8474215154193641e-05,4.1946325197407273e-05
76717254.638671875,76.717254638672,1.214424902191589e-05,3.4545961299853693e-05,2.9950478105330607e-05,2.3980583500687083e-05,4.7007490511965944e-05
76717399.597167969,76.717399597168,1.3760062337187834e-05,3.5825652480234688e-05,2.8286270141421561e-05,2.0063230959110571e-05,4.8437713714826413e-05
76717544.555664062,76.717544555664,1.1778757563832564e-05,3.2802491357426672e-05,2.33022583123034e-05,2.2558141470118884e-05,3.7292805138323994e-05
76717689.514160156,76.717689514160,1.1062597448983527e-05,2.6234326737465842e-05,2.1157000262010409e-05,2.2879341428068187e-05,4.6527615568773685e-05
76717834.47265625,76.717834472656,1.0718016581173156e-05,3.345553376883545e-05,2.6421885481916798e-05,1.69029991815232e-05,3.9547520818024686e-05
76717979.431152344,76.717979431152,1.2335228094932783e-05,4.1260013905508433e-05,2.1559043405386383e-05,1.5795707587796258e-05,3.5473357464911801e-05
76718124.389648438,76.718124389648,1.1442803104310318e-05,3.4121819199499997e-05,1.6528393506313182e-05,2.0127794677475943e-05,4.3023645177382471e-05
76718269.348144531,76.718269348145,9.1974205262290906e-06,3.3578805368439754e-05,2.7620129060062689e-05,2.4326205130562564e-05,4.1426230729381008e-05
76718414.306640625,76.718414306641,1.169291385246902e-05,3.5588289745180145e-05,2.9122315071319068e-05,2.1717463953209187e-05,2.65953430477705e-05
76718559.265136719,76.718559265137,1.1398306285468584e-05,3.0181614873811454e-05,2.1825972435099657e-05,2.2855859021331885e-05,2.561884502757533e-05
76718704.223632812,76.718704223633,1.0211732511193606e-05,3.2457980273165305e-05,3.0236134626549756e-05,2.486004763176603e-05,3.7757855797824016e-05
76718849.182128906,76.718849182129,1.2019510155860923e-05,3.1342016426515258e-05,2.7028894134650807e-05,1.9897793712915121e-05,3.8801007252494717e-05
76718994.140625,76.718994140625,1.6206548298099266e-05,3.1311566714308482e-05,2.3669505662156288e-05,1.6784673883687886e-05,3.9566560189774512e-05
76719139.099121094,76.719139099121,1.1748953789869904e-05,3.9794247629105093e-05,1.9255808111678866e-05,1.8210972716987561e-05,3.662086091546864e-05
76719284.057617188,76.719284057617,5.9479391394684931e-06,5.0433691420738212e-05,1.6064793169187486e-05,2.3058279561929279e-05,2.3933477102515263e-05
76719429.016113281,76.719429016113,7.5270516252930891e-06,3.8674305290205018e-05,1.7486879706507098e-05,3.0248731655208e-05,3.0433726959621889e-05
76719573.974609375,76.719573974609,1.1279916596561462e-05,2.3880497164698084e-05,1.8432817506806874e-05,1.8910722106891315e-05,3.605642681374418e-05
76719718.933105469,76.719718933105,1.0776467438694588e-05,3.1422426643119405e-05,2.725926924290517e-05,1.8681386533357652e-05,4.0176517394118288e-05
76719863.891601562,76.719863891602,1.0845261332183177e-05,3.427100017948468e-05,2.8886490893169312e-05,2.2021600925860469e-05,3.5995870154570092e-05
76720008.850097656,76.720008850098,1.5129207140245173e-05,3.1690456211161862e-05,3.2719408191931336e-05,2.0805492722284599e-05,3.4712840866538246e-05
76720153.80859375,76.720153808594,1.5620501364422207e-05,3.5445712589085785e-05,2.3133842324171124e-05,2.2151735136139573e-05,3.7388571909121442e-05
76720298.767089844,76.720298767090,1.0570083364185928e-05,4.0507832384515729e-05,1.8211138445058422e-05,2.2397590594073388e-05,3.5354899649104427e-05
76720443.725585938,76.720443725586,1.1775532571235251e-05,3.9216062526575591e-05,1.9344436936779689e-05,2.159479388481144e-05,4.1068222968195875e-05
76720588.684082031,76.720588684082,1.2737494315728026e-05,3.8305657444888528e-05,2.705827799357199e-05,2.4816691031014451e-05,4.2236942476353227e-05
76720733.642578125,76.720733642578,1.3788849289593182e-05,3.1470131965868987e-05,1.4065947925130258e-05,2.2389582508702212e-05,3.3164135495666441e-05
76720878.601074219,76.720878601074,1.248562413937461e-05,3.1471422357750815e-05,2.2425952999947897e-05,2.0583183075775984e-05,3.7537930672756807e-05
76721023.559570312,76.721023559570,1.14541633975014e-05,2.9286531747192333e-05,2.7246741836364239e-05,2.2127838033890028e-05,4.3179292522928665e-05
76721168.518066406,76.721168518066,1.1484514776969678e-05,2.473683975526965e-05,2.2231421635898041e-05,2.098452224685385e-05,3.4635527183576961e-05
76721313.4765625,76.721313476562,1.628215782564251e-05,2.8658916646924651e-05,2.1798425585531704e-05,1.9361137920529062e-05,4.1311842729555245e-05
76721458.435058594,76.721458435059,1.3143568744609027e-05,3.2231264784633791e-05,2.2557001628836139e-05,2.2002942256179512e-05,4.546705949487153e-05
76721603.393554688,76.721603393555,9.2354229609879182e-06,2.9587097789753542e-05,2.3297148560250762e-05,1.8119793284764254e-05,4.5596559624001777e-05
76721748.352050781,76.721748352051,1.1783740413276582e-05,2.3482828187056603e-05,2.7714274912350736e-05,1.6339613443347769e-05,4.9381276548233925e-05
76721893.310546875,76.721893310547,1.3774349793323446e-05,2.8986924392035113e-05,3.1261301674877954e-05,1.7904596930210594e-05,4.7693788210762317e-05
76722038.269042969,76.722038269043,1.2319178706280478e-05,2.6081949995644687e-05,3.0789742808792319e-05,1.8059874569134422e-05,3.305242191344466e-05
76722183.227539062,76.722183227539,1.228073738438156e-05,2.6736256880158251e-05,2.6241222693687348e-05,2.1175097305593934e-05,3.6467844677344117e-05
76722328.186035156,76.722328186035,1.1072548305911396e-05,3.1533639664181572e-05,2.7682649735508858e-05,1.9204566336683084e-05,3.3839476084807495e-05
76722473.14453125,76.722473144531,9.3654382042957079e-06,3.2881211309182241e-05,2.7358228560468957e-05,1.9503462612270847e-05,3.3658308216963232e-05
76722618.103027344,76.722618103027,1.1146919725846392e-05,3.1945844929930688e-05,2.2375255235330346e-05,2.2345817054537485e-05,2.8879006859866027e-05
76722763.061523438,76.722763061523,1.1816320303598135e-05,4.6406896765852409e-05,2.2761489266513362e-05,1.9290925809185628e-05,4.2834177022404598e-05
76722908.020019531,76.722908020020,1.6593356355927787e-05,3.3927330820272451e-05,1.9526448729644885e-05,2.5798013869682708e-05,4.453725439359422e-05
76723052.978515625,76.723052978516,1.3354009862740586e-05,3.0301840813109289e-05,2.6430306200733645e-05,2.4380750125454431e-05,4.0256325809993475e-05
76723197.937011719,76.723197937012,1.1055082484071809e-05,3.5952199432003386e-05,2.6330788957040581e-05,3.0141143939171002e-05,2.9989800810965609e-05
76723342.895507812,76.723342895508,8.35350415744376e-06,3.614477987732089e-05,2.0710760243815692e-05,1.9947156243685918e-05,2.9298467320852557e-05
76723487.854003906,76.723487854004,9.348569859878389e-06,3.6585382228072269e-05,2.4944842533720698e-05,1.6181694395522524e-05,3.6125100334805369e-05
76723632.8125,76.723632812500,1.1630151976067819e-05,2.9662827254536823e-05,2.4458364613958118e-05,2.4016466822199357e-05,3.1004119416603732e-05
76723777.770996094,76.723777770996,1.4930028789318176e-05,2.995534164178861e-05,3.191909002400323e-05,2.0203104974716429e-05,3.4237787298951636e-05
76723922.729492188,76.723922729492,1.3165113790695674e-05,3.1693918880298446e-05,2.4793701359046267e-05,1.7812908029665725e-05,3.3316147223867955e-05
76724067.687988281,76.724067687988,1.4360775618704701e-05,2.8363141218024046e-05,1.8498370881983251e-05,1.7468604476410268e-05,2.7892848972388012e-05
76724212.646484375,76.724212646484,1.3530331895381891e-05,3.810526211681909e-05,2.5929616828262992e-05,2.2637487317275627e-05,3.8938570975585699e-05
76724357.604980469,76.724357604980,1.7568051508739841e-05,4.6847192704690327e-05,2.2086976210312041e-05,2.3964354197426322e-05,3.7526158950926544e-05
76724502.563476562,76.724502563477,1.4536968757999299e-05,3.9616328773868164e-05,2.5906891939400375e-05,2.0183297560446812e-05,3.9813854023052506e-05
76724647.521972656,76.724647521973,1.2609417521974143e-05,3.6415665289511276e-05,3.3311383068884901e-05,2.0966148185487314e-05,3.0574192036223629e-05
76724792.48046875,76.724792480469,1.1698665171868275e-05,3.9429023033786092e-05,3.000757154083873e-05,2.0233142453845575e-05,3.1331299930149858e-05
76724937.438964844,76.724937438965,1.4556348187358283e-05,3.6375444741051187e-05,2.8096066461159601e-05,2.1055749368615626e-05,3.8175300328533628e-05
76725082.397460938,76.725082397461,1.276196876716132e-05,3.1438703041881553e-05,3.2028240353541858e-05,1.7981777477737223e-05,3.3359788166560856e-05
76725227.355957031,76.725227355957,1.0467332094829826e-05,3.7398331074584282e-05,2.7050239027657805e-05,2.0872952449487361e-05,2.5634431233123258e-05
76725372.314453125,76.725372314453,8.0774704094190567e-06,3.7211172101612428e-05,2.5554108387000607e-05,2.2279985033658398e-05,3.089145896448984e-05
76725517.272949219,76.725517272949,7.0725302377736188e-06,3.390060608612911e-05,2.9304913822426105e-05,2.0127407759076496e-05,3.5807724249406851e-05
76725662.231445312,76.725662231445,8.23297892292804e-06,3.3174026399778066e-05,2.3906400078162712e-05,2.4425579582509059e-05,3.5517791745587704e-05
76725807.189941406,76.725807189941,1.7112263013700979e-05,3.9712553249575888e-05,1.9953707778642288e-05,1.9360323780031216e-05,3.9625787743767319e-05
76725952.1484375,76.725952148438,1.6402426971336444e-05,3.5866417100230648e-05,2.4094912798522254e-05,1.5660210583571047e-05,4.0757989348856376e-05
76726097.106933594,76.726097106934,1.3632098432215643e-05,3.6513978976778902e-05,2.4177277534675403e-05,1.9348227276464289e-05,4.5345884976435267e-05
76726242.065429688,76.726242065430,1.1690508836348934e-05,3.5123592186694757e-05,1.7612801147054672e-05,2.2392981758663364e-05,4.328750780236222e-05
76726387.023925781,76.726387023926,1.0212005707357945e-05,2.7604689467985598e-05,2.1051624035960895e-05,2.3067351282991961e-05,4.0805725492107965e-05
76726531.982421875,76.726531982422,1.0184884066017734e-05,3.1526995174371922e-05,2.7931084349880929e-05,2.2820757614035962e-05,3.0352904380619255e-05
76726676.940917969,76.726676940918,1.0136660095317564e-05,3.0598961279941424e-05,2.0377151372467209e-05,1.71415853716079e-05,2.9774384429001995e-05
76726821.899414062,76.726821899414,1.2059636917679592e-05,2.8136205405468601e-05,3.1124796461824019e-05,1.6464897124051906e-05,3.7268259122256139e-05
