Frequency_Hz,Frequency_MHz,OffsetFrom76MHz_Hz,OffsetFrom800kHzCenter_Hz,TwoTapFirAttenuation_dB,20260515_092941_PSD,20260515_133100_PSD,20260515_134951_PSD,20260515_140509_PSD,20260521_162959_PSD,20260515_092941_PSD_dB,20260515_133100_PSD_dB,20260515_134951_PSD_dB,20260515_140509_PSD_dB,20260521_162959_PSD_dB,20260515_092941_After2TapFir_dB,20260515_133100_After2TapFir_dB,20260515_134951_After2TapFir_dB,20260515_140509_After2TapFir_dB,20260521_162959_After2TapFir_dB
76703193.664550781,76.703193664551,703193.664551,-96806.3354492,-30.7329986067,1.1084275708895821e-05,2.2397543108750927e-05,2.5681901380140792e-05,2.4159086496908154e-05,4.7552708967332339e-05,-49.5529268017,-46.4979961885,-45.9037282607,-46.1691949128,-43.2282473727,-80.2859254084,-77.2309947951,-76.6367268674,-76.9021935195,-73.9612459794
76703338.623046875,76.703338623047,703338.623047,-96661.3769531,-30.7312087597,1.1617677150232185e-05,3.5273457399265706e-05,2.0486119285838741e-05,2.3150422304434847e-05,4.6821884668143271e-05,-49.3488069653,-44.5255196999,-46.8854030282,-46.3544108228,-43.2955110913,-80.080015725,-75.2567284596,-77.6166117879,-77.0856195825,-74.0267198509
76703483.581542969,76.703483581543,703483.581543,-96516.418457,-30.7294192818,1.169606187139084e-05,3.1923340223867863e-05,2.2845786167629215e-05,2.2339543287753307e-05,2.6837431537474751e-05,-49.3196034299,-44.9589167356,-46.4119389244,-46.509257099,-45.7125905044,-80.0490227117,-75.6883360173,-77.1413582061,-77.2386763807,-76.4420097862
76703628.540039062,76.703628540039,703628.540039,-96371.4599609,-30.7276301727,1.3138107823756048e-05,3.1379068344689743e-05,2.8460152021387234e-05,2.0927281794159111e-05,2.2600402325984394e-05,-48.8146717822,-45.0335995491,-45.4576278444,-46.792871777,-46.458838296,-79.5423019549,-75.7612297218,-76.1852580171,-77.5205019498,-77.1864684687
76703773.498535156,76.703773498535,703773.498535,-96226.5014648,-30.7258414324,1.3425411104764828e-05,3.423819661711989e-05,2.8767799044176475e-05,1.9009558338931249e-05,2.6680565662290055e-05,-48.7207240672,-44.6548911841,-45.4109336368,-47.2102797326,-45.7380496706,-79.4465654997,-75.3807326165,-76.1367750692,-77.936121165,-76.463891103
76703918.45703125,76.703918457031,703918.457031,-96081.5429688,-30.7240530608,1.1831319757603237e-05,2.8554109569630693e-05,2.9956675367780993e-05,1.5374126012669214e-05,2.8147092429936782e-05,-49.2696680808,-45.4433137831,-45.2350638689,-48.132095636,-45.5056646074,-79.9937211416,-76.1673668439,-75.9591169296,-78.8561486967,-76.2297176681
76704063.415527344,76.704063415527,704063.415527,-95936.5844727,-30.7222650576,1.4385984086430888e-05,2.5829331148721101e-05,2.7683800945195518e-05,2.2953356075463191e-05,3.5424504208933894e-05,-48.4206042445,-45.8788683975,-45.5777428213,-46.3915380605,-44.506962193,-79.142869302,-76.601133455,-76.3000078788,-77.1138031181,-75.2292272505
76704208.374023438,76.704208374023,704208.374023,-95791.6259766,-30.7204774226,1.4116014666401457e-05,3.3436425312012737e-05,2.9803164556154753e-05,2.5732800442211835e-05,4.606213447299236e-05,-48.5028789908,-44.7578015917,-45.2573761927,-45.8951294794,-43.3665594114,-79.2233564135,-75.4782790143,-75.9778536153,-76.615606902,-74.087036834
76704353.332519531,76.704353332520,704353.33252,-95646.6674805,-30.7186901559,1.5090508267822432e-05,3.3505911390452052e-05,2.6867459726973048e-05,2.482559613523452e-05,3.9646924821496531e-05,-48.2129613238,-44.7487856437,-45.7077339344,-46.0510031403,-44.0179049271,-78.9316514796,-75.4674757996,-76.4264240902,-76.7696932961,-74.7365950829
76704498.291015625,76.704498291016,704498.291016,-95501.7089844,-30.7169032571,1.1092230003794898e-05,2.8419456204363254e-05,2.2601827135190505e-05,2.4131397193547648e-05,3.6415319810453743e-05,-49.5498113365,-45.4638423639,-46.45856451,-46.1741753197,-44.3871587159,-80.2667145936,-76.180745621,-77.1754677671,-76.8910785768,-75.1040619729
76704643.249511719,76.704643249512,704643.249512,-95356.7504883,-30.7151167261,1.1470335280748272e-05,2.3952104095170913e-05,1.8521101190305153e-05,2.7485250237096925e-05,3.6128849232436018e-05,-49.4042388738,-46.2065632957,-47.3233319548,-45.6090030468,-44.4214587126,-80.1193555999,-76.9216800218,-78.0384486809,-76.324119773,-75.1365754387
76704788.208007812,76.704788208008,704788.208008,-95211.7919922,-30.7133305629,1.1002587819720256e-05,2.9802916183381569e-05,3.0246766205555154e-05,3.5626559402343221e-05,3.7474541309181853e-05,-49.5850515633,-45.257412386,-45.1932105057,-44.4822611716,-44.2626367424,-80.2983821262,-75.9707429489,-75.9065410686,-75.1955917345,-74.9759673053
76704933.166503906,76.704933166504,704933.166504,-95066.8334961,-30.7115447672,1.0004891252365217e-05,4.0240732053663112e-05,2.7271730329601134e-05,2.9118849082740486e-05,3.5239382212936566e-05,-49.9978762754,-43.9533412726,-45.6428730618,-45.3582579443,-44.5297171388,-80.7094210426,-74.6648860398,-76.354417829,-76.0698027115,-75.241261906
76705078.125,76.705078125000,705078.125,-94921.875,-30.7097593389,9.9588199646253901e-06,2.2203348848552849e-05,2.4754634372527087e-05,2.0244567709946315e-05,3.6877907786970682e-05,-50.0179211873,-46.5358151759,-46.0634348384,-46.9369149245,-44.3323372597,-80.7276805262,-77.2455745148,-76.7731941773,-77.6466742634,-75.0420965986
76705223.083496094,76.705223083496,705223.083496,-94776.9165039,-30.7079742778,1.6838833686623937e-05,3.1298397537082318e-05,2.7317886406944179e-05,2.426910754776507e-05,4.3636569821453369e-05,-47.7368799247,-45.0447789755,-45.6355290518,-46.1494619376,-43.6014939571,-78.4448542025,-75.7527532534,-76.3435033297,-76.8574362155,-74.309468235
76705368.041992188,76.705368041992,705368.041992,-94631.9580078,-30.7061895839,1.7557813941938715e-05,3.5888106380372392e-05,2.6979651436763738e-05,2.1041099088208136e-05,4.2089772704733386e-05,-47.5552955745,-44.4504945641,-45.6896366549,-46.7693157842,-43.7582341954,-78.2614851584,-75.156684148,-76.3958262387,-77.4755053681,-74.4644237793
76705513.000488281,76.705513000488,705513.000488,-94486.9995117,-30.7044052568,1.4302708475406813e-05,2.7735402604574575e-05,2.5023737616986172e-05,1.7984696925580647e-05,3.266797149309214e-05,-48.4458171327,-45.5696552556,-46.0164782233,-47.4509687643,-44.8587783206,-79.1502223895,-76.2740605124,-76.7208834801,-78.1553740211,-75.5631835774
76705657.958984375,76.705657958984,705657.958984,-94342.0410156,-30.7026212966,1.3606005449599168e-05,2.7178499211830551e-05,3.0595901566739546e-05,2.0870148351559134e-05,3.8963952812648699e-05,-48.6626935943,-45.6577452855,-45.1433674496,-46.8047446382,-44.0933699128,-79.3653148908,-76.360366582,-75.8459887462,-77.5073659348,-74.7959912094
76705802.917480469,76.705802917480,705802.91748,-94197.0825195,-30.7008377029,1.088526389430088e-05,3.1950983661969746e-05,2.4366251530322565e-05,2.2591580303956124e-05,5.1585248569096534e-05,-49.6316103778,-44.9551576685,-46.1321127693,-46.4605338868,-42.8747447242,-80.3324480808,-75.6559953715,-76.8329504722,-77.1613715897,-73.5755824272
76705947.875976562,76.705947875977,705947.875977,-94052.1240234,-30.6990544758,9.3228947559054738e-06,3.9182670924623596e-05,2.2066893670860992e-05,2.2242352826705147e-05,4.564001555119277e-05,-50.3044921841,-44.0690596323,-46.5625879763,-46.5281927439,-43.4065421627,-81.0035466599,-74.7681141081,-77.2616424521,-77.2272472197,-74.1055966386
76706092.834472656,76.706092834473,706092.834473,-93907.1655273,-30.697271615,1.0839521004675889e-05,3.7627643913504776e-05,2.4356397084096349e-05,1.6848451306626505e-05,3.6011379891008738e-05,-49.6498990872,-44.2449297454,-46.1338695423,-47.7344001289,-44.4356023693,-80.3471707022,-74.9422013604,-76.8311411573,-78.4316717439,-75.1328739843
76706237.79296875,76.706237792969,706237.792969,-93762.2070312,-30.6954891204,1.4213452677583466e-05,3.196920484533738e-05,2.2095425787699011e-05,1.623890139092227e-05,3.7230273732346117e-05,-48.473004121,-44.9526816559,-46.5569762499,-47.8944335539,-44.2910377066,-79.1684932414,-75.6481707763,-77.2524653703,-78.5899226743,-74.986526827
76706382.751464844,76.706382751465,706382.751465,-93617.2485352,-30.6937069918,1.0728869892669822e-05,2.9700087113305962e-05,2.3031293907459165e-05,1.4947365856286165e-05,3.4868371021677444e-05,-49.694460213,-45.2724227685,-46.3768166251,-48.2543533542,-44.5756834149,-80.3881672048,-75.9661297604,-77.0705236169,-78.9480603461,-75.2693904068
76706527.709960938,76.706527709961,706527.709961,-93472.2900391,-30.6919252292,8.7818039399668961e-06,3.0436171524162334e-05,2.6744870335356278e-05,2.1759382642523972e-05,3.800588029074246e-05,-50.5641626306,-45.1660997708,-45.7275950331,-46.6235343061,-44.201492039,-81.2560878597,-75.858025,-76.4195202623,-77.3154595352,-74.8934172682
76706672.668457031,76.706672668457,706672.668457,-93327.331543,-30.6901438322,1.1786021312828908e-05,3.576851754726788e-05,2.4631097680734163e-05,2.3249695028236624e-05,4.6918065583243569e-05,-49.286327779,-44.4649905913,-46.0851623347,-46.3358273948,-43.2865990201,-79.9764716112,-75.1551344236,-76.7753061669,-77.025971227,-73.9767428523
76706817.626953125,76.706817626953,706817.626953,-93182.3730469,-30.6883628008,1.051348829438715e-05,3.3223734422506971e-05,2.3191385433567992e-05,2.603436020133962e-05,4.4513452247772772e-05,-49.782531645,-44.7855155346,-46.3467330621,-45.8445309072,-43.5150872263,-80.4708944458,-75.4738783355,-77.0350958629,-76.532893708,-74.2034500272
76706962.585449219,76.706962585449,706962.585449,-93037.4145508,-30.6865821349,1.0484852901651026e-05,3.2308795073844574e-05,3.0830338397917707e-05,2.7252537920970052e-05,3.5856083835822294e-05,-49.7943765814,-44.9067923828,-45.1102170837,-45.6459304738,-44.4543714538,-80.4809587163,-75.5933745178,-75.7967992186,-76.3325126087,-75.1409535887
76707107.543945312,76.707107543945,707107.543945,-92892.4560547,-30.6848018343,1.1010824193189244e-05,2.7164339911525084e-05,2.5743507211430124e-05,3.384673764859634e-05,3.0968182526456466e-05,-49.5818017157,-45.6600084378,-45.8933228654,-44.7048318487,-45.0908428195,-80.2666035499,-76.3448102721,-76.5781246996,-75.3896336829,-75.7756446538
76707252.502441406,76.707252502441,707252.502441,-92747.4975586,-30.6830218988,9.5664294345190163e-06,3.4050486695319193e-05,2.5174689079091737e-05,2.5407638587831837e-05,3.4129437129670532e-05,-50.1925012766,-44.6787667619,-45.9903588451,-45.9503569685,-44.6687087414,-80.8755231754,-75.3617886606,-76.6733807439,-76.6333788673,-75.3517306402
76707397.4609375,76.707397460938,707397.460938,-92602.5390625,-30.6812423282,8.3164889453601685e-06,3.3340866686898507e-05,2.6211022423739871e-05,1.9621440734164781e-05,3.4100334527236982e-05,-50.8005998543,-44.7702311499,-45.8151603803,-47.0726910705,-44.6724136052,-81.4818421825,-75.4514734782,-76.4964027085,-77.7539333988,-75.3536559334
76707542.419433594,76.707542419434,707542.419434,-92457.5805664,-30.6794631226,9.7525930046408288e-06,4.1374633914453394e-05,2.5636565975345166e-05,2.0140360613172285e-05,4.3866803636197813e-05,-50.1087989939,-43.8326583587,-45.9114014912,-46.9593275767,-43.578640094,-80.7882621165,-74.5121214812,-76.5908646137,-77.6387906992,-74.2581032166
76707687.377929688,76.707687377930,707687.37793,-92312.6220703,-30.6776842816,1.1656852774541181e-05,4.3690820140838994e-05,2.7792316185448969e-05,1.7096102976761606e-05,4.7508840870969527e-05,-49.3341868861,-43.5960980287,-45.5607525802,-47.671028749,-43.2322556544,-80.0118711677,-74.2737823102,-76.2384368618,-78.3487130306,-73.909939936
76707832.336425781,76.707832336426,707832.336426,-92167.6635742,-30.6759058051,1.2598871770476918e-05,4.0928761258000036e-05,2.60594578938787e-05,1.9493527334695389e-05,3.3995209667091003e-05,-48.9966834423,-43.8797139943,-45.8403462301,-47.1010956861,-44.6858227595,-79.6725892474,-74.5556197994,-76.5162520352,-77.7770014912,-75.3617285646
76707977.294921875,76.707977294922,707977.294922,-92022.7050781,-30.674127693,1.1109017617600372e-05,3.6904575294345729e-05,2.9261353930377339e-05,2.1989988659513271e-05,3.5267003903632239e-05,-49.5432434449,-44.3291978826,-45.3370558283,-46.5777499461,-44.5263143411,-80.2173711379,-75.0033255756,-76.0111835213,-77.2518776391,-75.2004420341
76708122.253417969,76.708122253418,708122.253418,-91877.746582,-30.6723499452,1.0441534795298036e-05,3.1521273385220866e-05,3.5830548402849066e-05,2.1693116389396622e-05,3.4504589721888517e-05,-49.8123565994,-45.0139624635,-44.4574654471,-46.6367805363,-44.6212313222,-80.4847065446,-75.6863124087,-75.1298153923,-77.3091304815,-75.2935812674
76708267.211914062,76.708267211914,708267.211914,-91732.7880859,-30.6705725614,1.2521847597529999e-05,3.1820734031110339e-05,3.5871443481282943e-05,2.4299754819682912e-05,3.2536660524905281e-05,-49.0233158628,-44.972898064,-44.4525114679,-46.1439810834,-44.8762702393,-79.6938884243,-75.6434706254,-75.1230840293,-76.8145536448,-75.5468428007
76708412.170410156,76.708412170410,708412.17041,-91587.8295898,-30.6687955416,1.2016853086497138e-05,2.4717948097884524e-05,3.7271122005280813e-05,2.7591999643996588e-05,4.4302156011317299e-05,-49.2020924832,-46.0698758402,-44.286275331,-45.5921682424,-43.5357513786,-79.8708880248,-76.7386713818,-74.9550708727,-76.2609637841,-74.2045469203
76708557.12890625,76.708557128906,708557.128906,-91442.8710938,-30.6670188856,1.260560031173301e-05,3.3036049039817224e-05,2.4995510103240752e-05,3.0720094095414576e-05,4.1972333276467802e-05,-48.9943646725,-44.8101189788,-46.0213799583,-45.125774584,-43.7703688733,-79.6613835582,-75.4771378644,-76.6883988439,-75.7927934696,-74.4373877589
76708702.087402344,76.708702087402,708702.087402,-91297.9125977,-30.6652425933,1.0175048277167157e-05,4.1146198606246746e-05,2.2454841847940874e-05,2.7675774600253973e-05,3.2218230500963655e-05,-49.9246352152,-43.8567028197,-46.4868999938,-45.5790021508,-44.9189831571,-80.5898778084,-74.521945413,-77.152142587,-76.244244744,-75.5842257504
76708847.045898438,76.708847045898,708847.045898,-91152.9541016,-30.6634666644,1.0683043840434449e-05,3.7306986568957081e-05,2.565243268253928e-05,2.1719946399496491e-05,3.8506340188755692e-05,-49.7130498937,-44.282098292,-45.908714434,-46.6314125083,-44.1446775667,-80.3765165581,-74.9455649564,-76.5721810984,-77.2948791727,-74.8081442311
76708992.004394531,76.708992004395,708992.004395,-91007.9956055,-30.6616910989,1.1350759485149514e-05,3.7370790182771676e-05,2.4269096965388326e-05,2.1963987278624176e-05,4.6099278982610309e-05,-49.4497507863,-44.2746771916,-46.1494638313,-46.582888165,-43.3630586716,-80.1114418852,-74.9363682905,-76.8111549302,-77.2445792639,-74.0247497704
76709136.962890625,76.709136962891,709136.962891,-90863.0371094,-30.6599158966,9.5669254491258845e-06,3.2050140902996186e-05,2.214359969499819e-05,1.7857957126730301e-05,5.1571378486427561e-05,-50.1922761029,-44.9417005684,-46.5475177819,-47.4816822402,-42.8759125989,-80.8521919995,-75.6016164649,-77.2074336785,-78.1415981368,-73.5358284954
76709281.921386719,76.709281921387,709281.921387,-90718.0786133,-30.6581410573,9.1148969537653095e-06,2.9724998732412796e-05,2.2446624197698427e-05,1.6641996776053578e-05,4.4581019949434485e-05,-50.4024823679,-45.2687815523,-46.4884896435,-47.7879456646,-43.5084999971,-81.0606234252,-75.9269226096,-77.1466307008,-78.4460867219,-74.1666410544
76709426.879882812,76.709426879883,709426.879883,-90573.1201172,-30.6563665809,9.3830344010385497e-06,2.8409064175005708e-05,2.5317813782492034e-05,2.3475630955337546e-05,3.8620088164793059e-05,-50.2765669142,-45.4654307217,-45.9657379878,-46.2938272636,-44.1318673912,-80.9329334951,-76.1217973026,-76.6221045687,-76.9501938445,-74.7882339721
76709571.838378906,76.709571838379,709571.838379,-90428.1616211,-30.6545924673,1.1160381826386338e-05,2.7941617043822253e-05,3.2408543822169743e-05,2.2645254531052469e-05,3.0059256441446814e-05,-49.5232094677,-45.537484639,-44.8934048221,-46.4502279351,-45.2202176651,-80.177801935,-76.1920771063,-75.5479972894,-77.1048204024,-75.8748101324
76709716.796875,76.709716796875,709716.796875,-90283.203125,-30.6528187163,1.1282481717468533e-05,3.0451615660873197e-05,3.1203074723741849e-05,1.9319423833448036e-05,3.5921148251419052e-05,-49.4759536155,-45.1638966021,-45.0580260887,-47.1400582977,-44.4464978917,-80.1287723318,-75.8167153183,-75.710844805,-77.7928770139,-75.099316608
76709861.755371094,76.709861755371,709861.755371,-90138.2446289,-30.6510453277,1.5264304797064735e-05,3.4124947833489268e-05,2.7286990399782327e-05,2.1407366164264217e-05,3.592410475059017e-05,-48.1632297058,-44.6692800385,-45.6404436191,-46.6943676244,-44.4461404593,-78.8142750335,-75.3203253662,-76.2914889468,-77.3454129521,-75.097185787
76710006.713867188,76.710006713867,710006.713867,-89993.2861328,-30.6492723014,1.4679901695971093e-05,3.5258649730208654e-05,1.6914057966665011e-05,1.648563243457101e-05,3.9160561038253593e-05,-48.3327685267,-44.5273432352,-47.7175218536,-47.8289438746,-44.0715109485,-78.9820408281,-75.1766155366,-78.366794155,-78.4782161761,-74.72078325
76710151.672363281,76.710151672363,710151.672363,-89848.3276367,-30.6474996374,1.3463243815753092e-05,3.3481115904218772e-05,1.7902898964101492e-05,1.9991200790355424e-05,4.2298490665238793e-05,-48.7085028918,-44.7520007568,-47.4707663929,-46.9916111879,-43.7367512926,-79.3560025292,-75.3995003942,-78.1182660303,-77.6391108253,-74.3842509299
76710296.630859375,76.710296630859,710296.630859,-89703.3691406,-30.6457273353,1.2870805787950277e-05,3.9516888899148521e-05,2.1804449896609269e-05,2.1634984342707099e-05,4.9499653050325515e-05,-48.9039426286,-44.0321725404,-46.6145486565,-46.6484341477,-43.0539784508,-79.5496699639,-74.6778998757,-77.2602759917,-77.2941614829,-73.6997057861
76710441.589355469,76.710441589355,710441.589355,-89558.4106445,-30.6439553951,1.0824727937799694e-05,4.9149750108692892e-05,2.604607205185177e-05,2.2290623268320118e-05,4.1570638381947927e-05,-49.6558301013,-43.084786859,-45.8425776238,-46.5187778804,-43.8121330617,-80.2997854964,-73.7287422541,-76.4865330188,-77.1627332754,-74.4560884568
76710586.547851562,76.710586547852,710586.547852,-89413.4521484,-30.6421838166,1.3455623259660887e-05,3.5868710545043765e-05,2.5193415091954347e-05,2.3504828583298759e-05,3.0672292239588215e-05,-48.7109618107,-44.4528423563,-45.9871295775,-46.288429117,-45.1325376657,-79.3531456273,-75.0950261728,-76.629313394,-76.9306129336,-75.7747214823
76710731.506347656,76.710731506348,710731.506348,-89268.4936523,-30.6404125996,1.3102598277945845e-05,3.0386352677250783e-05,2.2529654501700132e-05,1.9395626286430499e-05,4.016087076147472e-05,-48.8264257412,-45.1732142586,-46.4724546825,-47.1229619243,-43.9619687946,-79.4668383409,-75.8136268582,-77.1128672821,-77.763374524,-74.6023813942
76710876.46484375,76.710876464844,710876.464844,-89123.5351562,-30.6386417441,9.6159372224598494e-06,3.2392302374693248e-05,2.3422263273796414e-05,1.7040660335344188e-05,4.7183642384212086e-05,-50.1700838062,-44.8955818218,-46.3037114172,-47.6851358008,-43.262085364,-80.8087255503,-75.534223566,-76.9423531614,-78.323777545,-73.9007271081
